plant_id,plant_name,status,in_gold,in_gem,in_wiki,in_osm
0,An Khánh - Bac Giang,planned,1,1,1,0
1,An Khánh 1,operational,1,1,1,1
2,Bà Rịa GT,operational,1,1,1,1
3,Bạc Liêu 1,cancelled,1,1,1,0
4,Bảo Đài,cancelled,1,1,0,0
5,Cam Pha 3,proposed,1,1,1,0
6,Cao Ngạn,operational,1,1,1,1
7,Cong Thanh,cancelled,1,1,1,0
8,Cà Mau I,operational,1,1,1,0
9,Cà Mau II,operational,1,1,1,0
10,Cẩm Phả 1,operational,1,1,1,0
11,Cẩm Phả 2,operational,1,1,1,0
12,Dong Nai Formosa,operational,1,0,1,0
13,Duc Giang - Lao Cai Chemical,proposed,1,1,1,0
14,Dung Quat Special Economic Zone (J-Power) Phase I,proposed,1,1,1,0
15,Dung Quat Special Economic Zone (J-Power) Phase II,proposed,1,1,1,0
16,Duyen Hai 1,operational,1,1,1,1
17,Duyen Hai 3,operational,1,1,1,1
18,Duyen Hai 3 extension,operational,1,1,1,0
19,Duyên Hải 2,operational,1,1,1,1
20,Formosa HT2,proposed,1,0,0,0
21,Ha Tinh Formosa Plastics Steel Complex,operational,1,1,1,0
22,Hai Duong,operational,1,1,1,1
23,Hai Ha CHP Phase 1,proposed,1,1,1,0
24,Hai Ha CHP Phase 2,proposed,1,1,1,0
25,Hai Ha CHP Phase 3,proposed,1,1,1,0
26,Hai Ha CHP Phase 4,proposed,1,1,1,0
27,Hai Phong 1,operational,1,1,1,1
28,Hai Phong 2,operational,1,1,1,1
29,Hai Phong 3,proposed,1,1,1,1
30,Hải Phòng,proposed,1,1,1,1
31,Kiên Lương 1,cancelled,1,1,0,0
32,Kiên Lương 2,cancelled,1,1,0,0
33,Kiên Lương 3,cancelled,1,1,0,0
34,LNG Bà Rịa 2,proposed,1,1,1,0
35,LNG Bình Định,proposed,1,1,0,0
36,LNG Bạc Liêu,planned,1,1,0,0
37,LNG Bến Tre,proposed,1,0,0,0
38,LNG Chân Mây,proposed,1,1,0,0
39,LNG Cà Mau 1,proposed,1,1,1,0
40,LNG Cà Mau 2,proposed,1,1,1,0
41,LNG Cà Mau 3,proposed,1,1,0,0
42,LNG Cà Ná,planned,1,1,1,0
43,LNG Cà Ná II,proposed,1,1,0,0
44,LNG Cà Ná III,proposed,1,1,0,0
45,LNG Cái Mép Hạ,proposed,1,1,0,0
46,LNG Hiệp Phước (phase I),constructing,1,1,0,0
47,LNG Hiệp Phước (phase II),proposed,1,1,0,0
48,LNG Hà Tĩnh,proposed,1,1,0,0
49,LNG Hải Lăng (1),constructing,1,1,0,0
50,LNG Hải Lăng 2,proposed,1,1,0,0
51,LNG Hải Lăng 3,proposed,1,1,0,0
52,LNG Hải Phòng 1 (Tiên Lãng),proposed,1,1,1,0
53,LNG Hải Phòng 2 (Cát Hải),proposed,1,0,0,0
54,LNG Hải Phòng 3 (Cát Hải),proposed,1,0,0,0
55,LNG Hải Phòng 4 (Đồ Sơn),proposed,1,0,0,0
56,LNG Long An I,planned,1,1,0,0
57,LNG Long An I phase 2,proposed,1,1,0,0
58,LNG Long An II,planned,1,1,1,0
59,LNG Long An II phase 2,proposed,1,1,0,0
60,LNG Long Sơn (I),planned,1,1,1,0
61,LNG Long Sơn II,proposed,1,1,1,0
62,LNG Long Sơn III,proposed,1,1,1,0
63,LNG Long Sơn IV (địa điểm Tây),proposed,1,1,1,0
64,LNG Mũi Kê Gà 1,proposed,1,0,0,0
65,LNG Mũi Kê Gà 2,proposed,1,0,0,0
66,LNG Mũi Kê Gà 3,proposed,1,0,0,0
67,LNG Mỹ Giang,proposed,1,1,0,0
68,LNG Nghi Sơn (Thanh Hóa),proposed,1,1,1,0
69,LNG Nhơn Trạch 3,constructing,1,1,1,0
70,LNG Nhơn Trạch 4,constructing,1,1,1,0
71,LNG Núi Thành (Quảng Nam),proposed,1,0,0,0
72,LNG Phong Điền – Huế,proposed,1,0,0,0
73,LNG Phú Mỹ 3.1,proposed,1,1,1,0
74,LNG Quảng Bình,proposed,1,1,0,0
75,LNG Quảng Nam,proposed,1,0,0,0
76,LNG Quảng Ninh 1 (Cẩm Phả),constructing,1,1,1,0
77,LNG Quảng Ninh 2 (Cẩm Phả),proposed,1,1,1,0
78,LNG Quảng Ninh 3 (Quảng Yên),proposed,1,1,1,0
79,LNG Quảng Ninh 4 (Hải Hà),proposed,1,1,1,0
80,LNG Quảng Trạch 2,proposed,1,1,1,1
81,LNG Quỳnh Lập,proposed,1,1,1,0
82,LNG Sông Đốc (Cà Mau),proposed,1,1,1,0
83,LNG Sơn Mỹ I,planned,1,1,1,0
84,LNG Sơn Mỹ II,planned,1,1,1,0
85,LNG Thái Bình,proposed,1,1,1,0
86,LNG Tân Phước,proposed,1,1,1,0
87,"LNG Tân Thuận – Đầm Dơi, Cà Mau",proposed,1,1,0,0
88,LNG Vân Phong (J-Power),proposed,1,1,1,0
89,LNG Vân Phong (Mỹ Giang) phase 1,proposed,1,1,1,0
90,LNG Vân Phong (Mỹ Giang) phase 2,proposed,1,1,1,0
91,LNG miền Nam,proposed,1,0,0,0
92,Lee & Man,operational,1,1,1,1
93,Long An 2,cancelled,1,1,1,0
94,Long An 1,proposed,1,1,1,0
95,Long Phú 1,constructing,1,1,1,1
96,Long Phú 2,cancelled,1,1,1,1
97,Long Phú 3,cancelled,1,1,1,1
98,Long Son Chemical,cancelled,1,1,1,0
99,Luc Nam,cancelled,1,0,0,0
100,Mao Khe,operational,1,1,1,1
101,Mong Duong 1,operational,1,1,1,1
102,Mong Duong 2,operational,1,1,1,1
103,Na Dương 1,operational,1,1,1,1
104,Na Dương 2,operational,1,1,1,1
105,Nam Dinh 1,planned,1,1,1,0
106,Nghi Son 1,operational,1,1,1,1
107,Nghi Son 2,operational,1,1,1,1
108,Ninh Binh,retired,1,1,1,1
109,Ninh Thuan Novatek project,proposed,1,0,0,0
110,Nong Son 1,operational,1,1,1,1
111,NĐ Cần Thơ,operational,1,0,0,1
112,NĐ Hiệp Phước,operational,1,1,0,1
113,NĐ LNG miền Bắc,proposed,1,1,0,0
114,NĐ Miền Bắc 1,cancelled,1,1,0,0
115,NĐ Miền Bắc 2,cancelled,1,1,0,0
116,NĐ Miền Bắc 3,cancelled,1,1,0,0
117,NĐ Thủ Đức,operational,1,0,0,1
118,NĐ khí dư Hòa Phát II,proposed,1,0,0,0
119,NĐ Ô Môn I,operational,1,1,1,0
120,Phả Lại 1,operational,1,1,1,0
121,Phả Lại 2,operational,1,1,1,0
122,Phả Lại 3,cancelled,1,1,1,0
123,Quang Ninh 1,operational,1,1,1,1
124,Quang Ninh 2,operational,1,1,1,1
125,Quang Ninh 3,proposed,1,1,1,1
126,Quảng Trạch 1,constructing,1,1,1,1
127,Quảng Trạch 2,cancelled,1,1,1,1
128,Quảng Trị 1,cancelled,1,1,1,0
129,Quảng Trị 2,planned,1,1,1,0
130,Quảng Trị – Huế area,proposed,1,1,1,0
131,Quỳnh Lập 1,cancelled,1,1,1,0
132,Quỳnh Lập 2,cancelled,1,1,1,0
133,Rang Dong cogeneration,proposed,1,1,1,0
134,Son Dong,operational,1,1,1,1
135,Sông Hậu 1,operational,1,1,1,1
136,Sông Hậu 2,planned,1,1,1,1
137,TBKHH Bà Rịa 1,operational,1,1,1,0
138,TBKHH Bà Rịa 2,operational,1,1,1,0
139,TBKHH Dung Quất I,planned,1,1,1,0
140,TBKHH Dung Quất II,planned,1,1,1,0
141,TBKHH Dung Quất III,planned,1,1,1,0
142,"TBKHH Kiên Giang I, II",planned,1,1,0,0
143,TBKHH Nhơn Trạch I,operational,1,1,1,1
144,TBKHH Nhơn Trạch II,operational,1,1,1,1
145,TBKHH Phú Mỹ 1,operational,1,1,1,0
146,TBKHH Phú Mỹ 2.1,operational,1,1,1,0
147,TBKHH Phú Mỹ 2.1 MR,operational,1,1,1,0
148,TBKHH Phú Mỹ 2.2,operational,1,1,1,0
149,TBKHH Phú Mỹ 3,operational,1,1,1,0
150,TBKHH Phú Mỹ 4,operational,1,1,1,0
151,TBKHH Quảng Trị (khí Báo Vàng),planned,1,1,1,0
152,TBKHH miền Trung I,planned,1,1,1,0
153,TBKHH miền Trung II,planned,1,1,1,0
154,TBKHH Ô Môn I,proposed,1,1,1,0
155,TBKHH Ô Môn II,planned,1,1,1,0
156,TBKHH Ô Môn III,planned,1,1,1,0
157,TBKHH Ô Môn IV,constructing,1,1,1,0
158,Thang Long,operational,1,1,1,1
159,Thái Bình 1,operational,1,1,1,1
160,Thái Bình 2,operational,1,1,1,1
161,Tân Phước 1,proposed,1,1,1,0
162,Tân Phước 2,proposed,1,1,1,0
163,Uong Bi I,retired,1,1,1,0
164,Uong Bi I extension,operational,1,1,1,0
165,Uong Bi II extension,operational,1,1,1,0
166,Vedan Vietnam Cogeneration power station,operational,1,1,1,0
167,Vinh Tan 1,operational,1,1,1,1
168,Vinh Tan 2,operational,1,1,1,1
169,Vinh Tan 3,planned,1,1,1,1
170,Vinh Tan 4,operational,1,1,1,1
171,Vinh Tan 4 extension,operational,1,0,1,0
172,Vung Ang 1,operational,1,1,1,1
173,Vung Ang 2,constructing,1,1,1,1
174,Vung Ang 3,cancelled,1,1,1,1
175,Vân Phong 1,constructing,1,1,1,1
176,Yên Hưng,proposed,1,0,0,0
