Name,Province,Fuel,Capacity,Status
An Khánh - Bac Giang,Bac Giang,Coal,650,3 permitted
An Khánh 1 Unit 1,Thai Nguyen,Coal,58,5 operating
An Khánh 1 Unit 2,Thai Nguyen,Coal,58,5 operating
Bà Rịa GT,Bà Rịa-Vũng Tàu,Gas,46,5 operating
Bạc Liêu 1 Unit 1,Bạc Liêu,Coal,600,9 cancelled
Bạc Liêu 1 Unit 2,Bạc Liêu,Coal,600,9 cancelled
Bảo Đài,N/A,Coal,600,9 cancelled
Cà Mau I,Cà Mau,Gas,771,5 operating
Cà Mau II,Cà Mau,Gas,771,5 operating
Cẩm Phả 1,Quảng Ninh,Coal,340,5 operating
Cẩm Phả 2,Quảng Ninh,Coal,340,5 operating
Cam Pha 3 Unit 1,Quảng Ninh,Coal,220,1 announced
Cam Pha 3 Unit 2,Quảng Ninh,Coal,220,1 announced
Cao Ngạn Unit 1,Thai Nguyen,Coal,57,5 operating
Cao Ngạn Unit 2,Thai Nguyen,Coal,57,5 operating
Cong Thanh Unit 1,Thanh Hóa,Coal,300,9 cancelled
Cong Thanh Unit 2,Thanh Hóa,Coal,300,9 cancelled
Dong Nai Formosa Unit 1,Đồng Nai,Coal,150,5 operating
Dong Nai Formosa Unit 2,Đồng Nai,Coal,150,5 operating
Dong Nai Formosa Unit 3,Đồng Nai,Coal,150,1 announced
Duc Giang - Lao Cai Chemical Unit 1,Lao Cai,Coal,50,2 pre-permit
Duc Giang - Lao Cai Chemical Unit 2,Lao Cai,Coal,50,2 pre-permit
Dung Quat Special Economic Zone (J-Power) Phase I,Quảng Ngãi,Coal,2400,1 announced
Dung Quat Special Economic Zone (J-Power) Phase II,Quảng Ngãi,Coal,2000,1 announced
Duyen Hai 1 Unit 1,Tra Vinh,Coal,622,5 operating
Duyen Hai 1 Unit 2,Tra Vinh,Coal,622,5 operating
Duyen Hai 2 Unit 1,Tra Vinh,Coal,600,5 operating
Duyên Hải 2 Unit 1,Tra Vinh,Coal,600,5 operating
Duyên Hải 2 Unit 2,Tra Vinh,Coal,600,5 operating
Duyen Hai 3 Extension,Tra Vinh,Coal,660,5 operating
Duyen Hai 3 Unit 1,Tra Vinh,Coal,622,5 operating
Duyen Hai 3 Unit 2,Tra Vinh,Coal,622,5 operating
Formosa HT2,Hà Tĩnh,Coal,650,1 announced
Ha Tinh Formosa Plastics Steel Complex Unit 1,Hà Tĩnh,Coal,150,5 operating
Ha Tinh Formosa Plastics Steel Complex Unit 10,Hà Tĩnh,Coal,150,2 pre-permit
Ha Tinh Formosa Plastics Steel Complex Unit 2,Hà Tĩnh,Coal,150,5 operating
Ha Tinh Formosa Plastics Steel Complex Unit 5,Hà Tĩnh,Coal,150,5 operating
Ha Tinh Formosa Plastics Steel Complex Unit 6,Hà Tĩnh,Coal,150,2 pre-permit
Ha Tinh Formosa Plastics Steel Complex Unit 7,Hà Tĩnh,Coal,150,2 pre-permit
Hai Duong Unit 1,Hai Duong,Coal,600,5 operating
Hai Duong Unit 2,Hai Duong,Coal,600,5 operating
Hai Ha CHP Phase 1 Unit 1,Quảng Ninh,Coal,50,2 pre-permit
Hai Ha CHP Phase 1 Unit 2,Quảng Ninh,Coal,50,2 pre-permit
Hai Ha CHP Phase 1 Unit 3,Quảng Ninh,Coal,50,2 pre-permit
Hai Ha CHP Phase 2 Unit 1,Quảng Ninh,Coal,150,2 pre-permit
Hai Ha CHP Phase 2 Unit 2,Quảng Ninh,Coal,150,2 pre-permit
Hai Ha CHP Phase 2 Unit 3,Quảng Ninh,Coal,150,2 pre-permit
Hai Ha CHP Phase 2 Unit 4,Quảng Ninh,Coal,150,2 pre-permit
