name,complex,plant,unit,province,asset_type,capacity_mwe,status,level
An Khánh - Bac Giang,,An Khánh - Bac Giang,,Bac Giang,Coal power plant,650,4 permitted,plant
An Khánh 1 Unit 1,,An Khánh 1,Unit 1,Thai Nguyen,Coal power plant,58,6 operating,unit
An Khánh 1 Unit 2,,An Khánh 1,Unit 2,Thai Nguyen,Coal power plant,58,6 operating,unit
Bà Rịa GT,,Bà Rịa GT,,Bà Rịa-Vũng Tàu,Gas power plant,46,6 operating,plant
Bạc Liêu 1 Unit 1,,Bạc Liêu 1,Unit 1,Bạc Liêu,Coal power plant,600,9 cancelled,unit
Bạc Liêu 1 Unit 2,,Bạc Liêu 1,Unit 2,Bạc Liêu,Coal power plant,600,9 cancelled,unit
Bảo Đài,,Bảo Đài,,,Coal power plant,600,9 cancelled,plant
Cà Mau I,,Cà Mau I,,Cà Mau,Gas power plant,771,6 operating,plant
Cà Mau II,,Cà Mau II,,Cà Mau,Gas power plant,771,6 operating,plant
Cẩm Phả 1,,Cẩm Phả 1,,Quảng Ninh,Coal power plant,340,6 operating,plant
Cẩm Phả 2,,Cẩm Phả 2,,Quảng Ninh,Coal power plant,340,6 operating,plant
Cam Pha 3 Unit 1,,Cam Pha 3,Unit 1,Quảng Ninh,Coal power plant,220,1 announced,unit
Cam Pha 3 Unit 2,,Cam Pha 3,Unit 2,Quảng Ninh,Coal power plant,220,1 announced,unit
Cao Ngạn Unit 1,,Cao Ngạn,Unit 1,Thai Nguyen,Coal power plant,57,6 operating,unit
Cao Ngạn Unit 2,,Cao Ngạn,Unit 2,Thai Nguyen,Coal power plant,57,6 operating,unit
Cong Thanh Unit 1,,Cong Thanh,Unit 1,Thanh Hóa,Coal power plant,300,9 cancelled,unit
Cong Thanh Unit 2,,Cong Thanh,Unit 2,Thanh Hóa,Coal power plant,300,9 cancelled,unit
Dong Nai Formosa Unit 1,,Dong Nai Formosa,Unit 1,Đồng Nai,Coal power plant,150,6 operating,unit
Dong Nai Formosa Unit 2,,Dong Nai Formosa,Unit 2,Đồng Nai,Coal power plant,150,6 operating,unit
Dong Nai Formosa Unit 3,,Dong Nai Formosa,Unit 3,Đồng Nai,Coal power plant,150,1 announced,unit
Duc Giang - Lao Cai Chemical Unit 1,,Duc Giang - Lao Cai Chemical,Unit 1,Lao Cai,Coal cogen plant,50,2 proposed,unit
Duc Giang - Lao Cai Chemical Unit 2,,Duc Giang - Lao Cai Chemical,Unit 2,Lao Cai,Coal cogen plant,50,2 proposed,unit
Dung Quat Special Economic Zone (J-Power) Phase I,,Dung Quat Special Economic Zone (J-Power) Phase I,,Quảng Ngãi,Coal power plant,2400,1 announced,plant
Dung Quat Special Economic Zone (J-Power) Phase II,,Dung Quat Special Economic Zone (J-Power) Phase II,,Quảng Ngãi,Coal power plant,2000,1 announced,plant
Duyen Hai 1 Unit 1,,Duyen Hai 1,Unit 1,Tra Vinh,Coal power plant,622,6 operating,unit
Duyen Hai 1 Unit 2,,Duyen Hai 1,Unit 2,Tra Vinh,Coal power plant,622,6 operating,unit
