model,n_runs,median_f1,median_coverage,median_precision,median_fuel_accuracy,median_n_plants,total_cost_usd,median_latency_s
gpt-5.4,3,0.6584,0.4908,1.0,0.642,80,0.080198,24.4
claude-opus-4.6,3,0.6186,0.4479,1.0,0.7164,73,0.183595,38.6
claude-sonnet-4.6,3,0.5887,0.4172,1.0,0.7681,68,0.111897,38.9
glm-5-turbo,3,0.5639,0.3926,1.0,0.6714,64,0.071361,62.9
gemini-2.5-flash-lite,3,0.5575,0.3865,1.0,0.3333,63,0.003096,14.7
gemini-3-flash-preview,3,0.5182,0.3497,1.0,0.7368,57,0.014106,8.6
mistral-small-2603,3,0.5114,0.3436,1.0,0.5357,56,0.004759,16.7
kimi-k2.5,3,0.5046,0.3374,1.0,0.6441,55,0.040608,151.5
padme-glm-4.7-flash,3,0.4977,0.3313,1.0,0.3889,54,0.0,68.4
mimo-v2-flash,3,0.4837,0.319,1.0,0.5938,52,0.00127,11.0
qwen3.5-397b-a17b,3,0.4402,0.2822,1.0,0.8163,46,0.027225,73.2
qwen3.5-plus-02-15,3,0.4402,0.2822,1.0,0.7174,46,0.019793,73.5
deepseek-v3.2,3,0.3861,0.2393,1.0,0.6923,39,0.001516,119.9
mistral-large-2512,3,0.3781,0.2331,1.0,0.7568,38,0.006313,26.8
padme-qwen3.5-9b,3,0.3781,0.2331,1.0,0.4762,38,0.0,119.9
qwen3.5-35b-a3b,3,0.37,0.227,1.0,0.4848,37,0.017671,35.8
minimax-m2.7,1,0.3535,0.2147,1.0,0.3714,35,0.099556,323.9
padme-devstral-small-2,3,0.3452,0.2086,1.0,0.3947,34,0.0,51.7
mimo-v2-pro,1,0.3282,0.1963,1.0,0.6562,32,0.007779,20.7
qwen3.6-plus-preview-free,3,0.3109,0.184,1.0,0.7,30,0.0,226.1
qwen3.5-27b,3,0.2932,0.1718,1.0,0.6429,28,0.016557,101.6
mercury-2,3,0.2378,0.135,1.0,0.5385,22,0.006847,4.1
padme-qwen3.5-27b,3,0.2283,0.1288,1.0,0.4762,21,0.0,336.5
padme-qwen3.5-35b,3,0.2088,0.1166,1.0,0.3889,19,0.0,98.7
padme-nemotron-3-nano,3,0.1788,0.0982,1.0,0.6667,16,0.0,48.1
nemotron-3-nano-30b-a3b,3,0.1371,0.0736,1.0,0.6364,12,0.00388,68.4
seed-2.0-lite,3,0.1156,0.0613,1.0,0.7,10,0.00509,31.1
llama-4-maverick,3,0.0936,0.0491,1.0,0.7632,8,0.001162,7.3
grok-4.20,1,0.0242,0.0123,1.0,0.0,2,0.00561,1.6
