experiment,model,n_runs,tp_fold,tp_nofold,tp_delta,f1_fold,f1_nofold,f1_delta,cov_fold,cov_nofold,cov_delta,prec_fold,prec_nofold,prec_delta
exp1,claude-haiku-4.5,5,33.0,15.4,17.6,0.2753,0.1287,0.1466,0.1833,0.0855,0.0978,0.5647,0.2653,0.2993
exp1,claude-opus-4.6,5,90.6,64.4,26.2,0.6589,0.4685,0.1904,0.5033,0.3578,0.1456,0.9546,0.6792,0.2754
exp1,claude-sonnet-4.6,5,92.8,67.0,25.8,0.6325,0.4587,0.1738,0.5156,0.3722,0.1434,0.8548,0.6229,0.2319
exp1,deepseek-v4-flash,5,42.8,27.8,15.0,0.3694,0.2401,0.1293,0.2378,0.1545,0.0833,0.8781,0.5703,0.3078
exp1,deepseek-v4-pro,5,57.0,40.6,16.4,0.4684,0.3332,0.1352,0.3167,0.2256,0.0911,0.9566,0.6762,0.2804
exp1,gpt-5.5,5,83.2,62.0,21.2,0.6268,0.4672,0.1597,0.4622,0.3444,0.1178,0.9749,0.7267,0.2482
exp1,gpt-oss-120b,5,16.6,13.6,3.0,0.1375,0.1122,0.0252,0.0922,0.0756,0.0167,0.3432,0.2758,0.0673
exp1,gpt-oss-20b,5,2.6,2.0,0.6,0.0236,0.0182,0.0055,0.0144,0.0111,0.0033,0.065,0.05,0.015
exp1,mistral-large-2512,5,46.0,33.0,13.0,0.4009,0.2878,0.1131,0.2556,0.1833,0.0722,0.967,0.6957,0.2713
exp1,mistral-medium-3-5,5,57.4,45.4,12.0,0.4709,0.3728,0.0981,0.3189,0.2522,0.0667,0.9162,0.7278,0.1884
exp1,mistral-small-2603,5,50.2,34.4,15.8,0.4168,0.2855,0.1312,0.2789,0.1911,0.0878,0.8562,0.5859,0.2704
exp1,qwen3.6-35b-a3b,5,23.4,14.4,9.0,0.2085,0.1289,0.0796,0.13,0.08,0.05,0.5766,0.357,0.2196
exp1,qwen3.6-flash,5,19.6,13.6,6.0,0.1572,0.1078,0.0494,0.1089,0.0755,0.0333,0.412,0.2732,0.1388
exp1,qwen3.7-max,5,46.0,31.2,14.8,0.4025,0.2739,0.1285,0.2555,0.1733,0.0822,0.9701,0.6692,0.3009
