agent,arm,run,is_optimised,n_bib_entries,bib_primary,n_rows,tokens_out,f1,prov_presence
anthropic,arm3,1,True,22,17.0,51,31072,0.4393,1.0
anthropic,arm3,2,True,71,9.0,55,31078,0.4404,1.0
anthropic,arm3,3,True,72,0.0,107,37319,0.7111,1.0
anthropic,arm3,4,True,30,0.0,110,37852,0.7326,1.0
anthropic,arm3,5,True,121,0.0,103,41064,0.7143,1.0
openai,arm3,1,True,23,18.0,117,19909,0.7143,1.0
openai,arm3,2,True,27,26.0,103,17515,0.7143,1.0
openai,arm3,3,True,0,0.0,139,19651,0.7152,1.0
openai,arm3,4,True,21,0.0,151,19488,0.7452,1.0
openai,arm3,5,True,0,0.0,133,17712,0.6959,1.0
mistral,arm3,1,True,72,0.0,24,9141,0.2567,1.0
mistral,arm3,2,True,31,8.0,108,16000,0.6937,1.0
mistral,arm3,3,True,90,16.0,100,15722,0.6464,1.0
mistral,arm3,4,True,72,16.0,101,15566,0.6894,1.0
mistral,arm3,5,True,85,10.0,88,14579,0.6534,1.0
qwen,arm3,1,True,0,0.0,92,15488,0.6588,1.0
qwen,arm3,2,True,0,0.0,91,18078,0.6299,1.0
qwen,arm3,3,True,24,0.0,84,11910,0.6235,1.0
qwen,arm3,4,True,27,0.0,72,9849,0.5702,1.0
qwen,arm3,5,True,27,8.0,67,10594,0.5217,1.0
anthropic,arm4,1,False,0,12.0,36,,0.3518,1.0
anthropic,arm4,2,False,19,11.0,35,,0.3535,1.0
anthropic,arm4,3,False,20,9.0,88,,0.6773,0.0
anthropic,arm4,4,False,23,16.0,62,,0.5422,1.0
anthropic,arm4,5,False,0,0.0,4,,0.0479,1.0
openai,arm4,1,False,0,0.0,130,,0.7031,1.0
openai,arm4,2,False,22,0.0,109,,0.7059,1.0
openai,arm4,3,False,0,0.0,100,,0.692,1.0
openai,arm4,4,False,0,0.0,104,,0.7191,1.0
openai,arm4,5,False,0,0.0,127,,0.7241,1.0
mistral,arm4,1,False,0,0.0,32,,0.3179,1.0
mistral,arm4,2,False,0,0.0,97,,0.6308,1.0
mistral,arm4,3,False,0,0.0,64,,0.4846,1.0
mistral,arm4,4,False,0,0.0,62,,0.5333,1.0
mistral,arm4,5,False,0,0.0,98,,0.6513,1.0
qwen,arm4,1,False,8,0.0,93,,0.6875,1.0
qwen,arm4,2,False,6,6.0,63,,0.4867,1.0
qwen,arm4,3,False,0,0.0,75,,0.2917,1.0
qwen,arm4,4,False,18,0.0,88,,0.6135,1.0
qwen,arm4,5,False,36,0.0,71,,0.5214,1.0
anthropic,naive,1,False,35,0.0,75,63045,0.605,1.0
anthropic,naive,2,False,0,18.0,82,54789,0.6531,1.0
anthropic,naive,3,False,29,17.0,78,59682,0.5726,1.0
anthropic,naive,4,False,20,0.0,74,56242,0.557,1.0
anthropic,naive,5,False,0,0.0,77,64388,0.5583,1.0
openai,naive,1,False,27,0.0,87,14396,0.608,1.0
openai,naive,2,False,0,0.0,83,13926,0.6179,1.0
openai,naive,3,False,15,0.0,76,13510,0.5858,1.0
openai,naive,4,False,26,25.0,83,14026,0.626,1.0
openai,naive,5,False,25,0.0,90,16109,0.6166,1.0
mistral,naive,1,False,40,5.0,74,11326,0.5738,0.3378
mistral,naive,2,False,17,5.0,51,7676,0.4393,0.1765
mistral,naive,3,False,50,4.0,70,12008,0.5236,0.0
mistral,naive,4,False,45,7.0,57,8757,0.4727,0.0
mistral,naive,5,False,40,3.0,48,16223,0.4171,0.3333
qwen,naive,1,False,0,0.0,43,6998,0.3592,1.0
qwen,naive,2,False,10,8.0,45,7617,0.375,1.0
qwen,naive,3,False,0,0.0,35,6433,0.3131,1.0
qwen,naive,4,False,12,10.0,42,7242,0.3707,1.0
qwen,naive,5,False,10,9.0,33,6399,0.2959,1.0
anthropic,optimised,1,True,20,0.0,50,,0.4695,0.0
anthropic,optimised,2,True,14,0.0,96,,0.6641,0.0
anthropic,optimised,3,True,13,0.0,90,,0.6877,0.0
anthropic,optimised,4,True,5,0.0,52,,0.3564,0.0
anthropic,optimised,5,True,19,0.0,87,,0.688,0.0
openai,optimised,1,True,22,0.0,79,,0.6198,1.0
openai,optimised,2,True,24,0.0,96,,0.6332,1.0
openai,optimised,3,True,0,0.0,86,,0.6024,1.0
openai,optimised,4,True,0,0.0,85,,0.621,1.0
openai,optimised,5,True,0,0.0,88,,0.6614,1.0
mistral,optimised,1,True,35,3.0,35,,0.2525,1.0
mistral,optimised,2,True,0,0.0,39,,0.3168,1.0
mistral,optimised,3,True,0,5.0,41,,0.3725,1.0
mistral,optimised,4,True,0,0.0,52,,0.3535,1.0
mistral,optimised,5,True,0,0.0,46,,0.3923,0.0
qwen,optimised,1,True,21,0.0,34,,0.2843,0.0
qwen,optimised,2,True,0,0.0,33,,0.1788,1.0
qwen,optimised,3,True,21,5.0,25,,0.2447,1.0
qwen,optimised,4,True,0,0.0,25,,0.2234,1.0
qwen,optimised,5,True,0,0.0,22,,0.2162,1.0
