agent,arm,run,n_rows,src1_empty,src1_notfound,src1_present,src1_valid,src1_primary,src2_empty,src2_notfound,src2_present,src2_valid,src2_primary,notes_empty,notes_notfound,notes_present,bib_entries,bib_valid,bib_primary,citation_style
anthropic,naive,1,75,0,17,58,,0,45,0,30,,0,0,0,75,0,,0,inline-ref
anthropic,naive,2,82,0,3,79,,29,3,9,70,,47,9,1,72,34,,18,inline-ref
anthropic,naive,3,78,7,0,71,,16,27,0,51,,37,8,9,61,29,,17,inline-ref
anthropic,naive,4,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
anthropic,naive,5,77,0,6,71,,5,42,0,35,,9,2,5,70,0,,0,inline-ref
mistral,naive,1,74,49,0,25,,0,74,0,0,,0,17,0,57,10,,5,inline-ref
mistral,naive,2,51,42,0,9,,0,51,0,0,,0,25,0,26,14,,5,inline-ref
mistral,naive,3,70,70,0,0,,0,70,0,0,,0,0,0,70,10,,4,inline-ref
mistral,naive,4,57,57,0,0,,0,57,0,0,,0,29,0,28,15,,7,inline-ref
mistral,naive,5,48,32,0,16,,0,47,0,1,,0,0,0,48,10,,3,inline-ref
openai,naive,1,87,0,40,47,,46,0,65,22,,21,0,2,85,0,,0,inline-ref
openai,naive,2,83,0,32,51,,50,0,46,37,,37,0,10,73,0,,0,inline-ref
openai,naive,3,76,0,5,71,,71,0,17,59,,59,0,11,65,0,,0,inline-ref
openai,naive,4,83,0,2,81,,81,0,32,51,,45,0,8,75,26,,25,inline-ref
openai,naive,5,90,0,2,88,,41,0,8,82,,57,0,4,86,0,,0,inline-ref
qwen,naive,1,43,0,0,43,,32,0,4,39,,10,0,1,42,0,,0,inline-ref
qwen,naive,2,45,0,0,45,,30,0,3,42,,19,0,1,44,10,,8,inline-ref
qwen,naive,3,35,0,0,35,,26,0,4,31,,9,0,0,35,0,,0,inline-ref
qwen,naive,4,42,0,0,42,,37,0,3,39,,32,0,1,41,12,,10,inline-ref
qwen,naive,5,33,0,2,31,,25,0,0,33,,26,0,0,33,10,,9,inline-ref
anthropic,optimised,1,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
anthropic,optimised,2,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
anthropic,optimised,3,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
anthropic,optimised,4,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
anthropic,optimised,5,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
mistral,optimised,1,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
mistral,optimised,2,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
mistral,optimised,3,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
mistral,optimised,4,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
mistral,optimised,5,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
openai,optimised,1,79,0,0,79,,72,0,2,77,,52,0,2,77,0,,0,inline-ref
openai,optimised,2,96,0,0,96,,80,0,10,86,,37,0,6,90,0,,0,inline-ref
openai,optimised,3,86,0,0,86,,85,0,0,86,,80,0,12,74,0,,0,inline-ref
openai,optimised,4,85,0,0,85,,85,0,0,85,,85,12,29,44,0,,0,inline-ref
openai,optimised,5,88,0,0,88,,88,0,0,88,,88,0,5,83,0,,0,inline-ref
qwen,optimised,1,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
qwen,optimised,2,42,5,0,37,37,35,5,0,37,37,28,42,0,0,0,,0,key-ref
qwen,optimised,3,25,0,0,25,,21,0,0,25,,0,10,0,15,7,,5,inline-ref
qwen,optimised,4,25,0,0,25,,22,0,0,25,,5,6,0,19,0,,0,inline-ref
qwen,optimised,5,22,0,0,22,,22,0,0,22,,0,0,0,22,0,,0,inline-ref
