agent,arm,run,n_cells_s1s2,n_banned_s1s2,n_bib_entries,n_banned_bib
anthropic,naive,1,150,0,32,0
anthropic,naive,2,164,0,31,0
anthropic,naive,3,156,0,27,0
anthropic,naive,4,0,0,16,0
anthropic,naive,5,154,0,14,0
mistral,naive,1,148,0,18,0
mistral,naive,2,102,0,0,0
mistral,naive,3,140,0,10,0
mistral,naive,4,114,0,16,0
mistral,naive,5,96,0,10,0
openai,naive,1,174,0,27,0
openai,naive,2,166,0,21,0
openai,naive,3,152,0,15,0
openai,naive,4,166,0,26,0
openai,naive,5,180,5,25,1
qwen,naive,1,86,0,8,0
qwen,naive,2,90,0,10,0
qwen,naive,3,70,0,6,0
qwen,naive,4,84,0,12,0
qwen,naive,5,66,0,10,0
anthropic,optimised,1,0,0,8,0
anthropic,optimised,2,0,0,0,0
anthropic,optimised,3,0,0,0,0
anthropic,optimised,4,0,0,0,0
anthropic,optimised,5,0,0,0,0
mistral,optimised,1,72,0,14,1
mistral,optimised,2,78,4,0,0
mistral,optimised,3,82,15,16,1
mistral,optimised,4,104,2,0,0
mistral,optimised,5,92,0,0,0
openai,optimised,1,158,1,14,0
openai,optimised,2,192,0,33,0
openai,optimised,3,172,0,0,0
openai,optimised,4,170,0,0,0
openai,optimised,5,176,0,0,0
qwen,optimised,1,0,0,7,0
qwen,optimised,2,74,0,8,0
qwen,optimised,3,50,0,9,0
qwen,optimised,4,50,0,0,0
qwen,optimised,5,44,0,0,0
