arm,agent,model,run,classification,narrative_chars,inventory_rows,cost_usd,wall_s,turns
naive,anthropic,claude-opus-4-6,1,report,45742,75,2.089,1219.96,1
naive,anthropic,claude-opus-4-6,2,report,48575,82,1.8781,1027.57,1
naive,anthropic,claude-opus-4-6,3,report,41744,78,2.027,1098.53,1
naive,anthropic,claude-opus-4-6,4,report,36544,0,1.9556,1048.41,1
naive,anthropic,claude-opus-4-6,5,report,36123,77,2.1352,1216.98,1
naive,mistral,mistral-large-2512,1,report,79565,74,0.2679,210.48,1
naive,mistral,mistral-large-2512,2,report,52318,51,0.1624,148.33,1
naive,mistral,mistral-large-2512,3,report,76061,70,0.2689,235.63,1
naive,mistral,mistral-large-2512,4,report,62784,57,0.289,193.88,1
naive,mistral,mistral-large-2512,5,report,78026,48,0.2502,309.07,1
naive,openai,gpt-5.5,1,report,56130,87,0.2787,172.29,1
naive,openai,gpt-5.5,2,report,53943,83,0.2664,172.11,1
naive,openai,gpt-5.5,3,report,60074,76,0.2559,165.09,1
naive,openai,gpt-5.5,4,report,58681,83,0.2577,157.73,1
naive,openai,gpt-5.5,5,report,69762,90,0.3047,190.07,1
naive,qwen,qwen3.7-max-2026-05-20,1,report,23471,43,0.0567,88.4,1
naive,qwen,qwen3.7-max-2026-05-20,2,report,25521,45,0.0613,139.4,1
naive,qwen,qwen3.7-max-2026-05-20,3,report,22764,35,0.0524,74.57,1
naive,qwen,qwen3.7-max-2026-05-20,4,report,22406,42,0.0585,100.69,1
naive,qwen,qwen3.7-max-2026-05-20,5,report,21060,33,0.0522,81.83,1
optimised,anthropic,claude-opus-4-6,1,report,20061,50,2.1410825000000004,793.485,4
optimised,anthropic,claude-opus-4-6,2,report,16491,0,1.6290575,494.546,4
optimised,anthropic,claude-opus-4-6,3,report,17833,90,1.835385,582.967,4
optimised,anthropic,claude-opus-4-6,4,report,18294,0,1.7141625000000005,540.6709999999999,4
optimised,anthropic,claude-opus-4-6,5,report,19385,0,1.5806700000000005,464.695,4
optimised,mistral,mistral-large-2512,1,report,0,0,0.2383009999999991,1251.005,2
optimised,mistral,mistral-large-2512,2,report,0,0,0.19061550000000038,220.844,2
optimised,mistral,mistral-large-2512,3,report,0,0,0.21661950000000071,694.456,2
optimised,mistral,mistral-large-2512,4,report,0,0,0.25183899999999887,289.341,2
optimised,mistral,mistral-large-2512,5,report,0,0,0.24803450000000082,300.102,2
optimised,openai,gpt-5.5-2026-04-23,1,report,41772,79,0.7409799999999976,310.925,3
optimised,openai,gpt-5.5-2026-04-23,2,report,36828,96,0.5584725000000011,292.533,2
optimised,openai,gpt-5.5-2026-04-23,3,report,42237,86,0.7342924999999996,304.017,2
optimised,openai,gpt-5.5-2026-04-23,4,report,37787,85,0.6280625000000005,312.85800000000006,2
optimised,openai,gpt-5.5-2026-04-23,5,report,57293,88,0.7392174999999996,368.002,3
optimised,qwen,qwen3.7-max-2026-05-20,1,report,16874,34,0.2444730000000004,178.036,3
optimised,qwen,qwen3.7-max-2026-05-20,2,report,10797,33,0.1916780000000004,132.88400000000001,3
optimised,qwen,qwen3.7-max-2026-05-20,3,report,12838,25,0.20284099999999863,141.556,2
optimised,qwen,qwen3.7-max-2026-05-20,4,report,10684,25,0.21976199999999935,171.44400000000002,3
optimised,qwen,qwen3.7-max-2026-05-20,5,report,7496,22,0.17090000000000083,124.967,3
