agent,arm,run,n_rows,src1_empty,src1_notfound,src1_present,src1_valid,src1_primary,src2_empty,src2_notfound,src2_present,src2_valid,src2_primary,notes_empty,notes_notfound,notes_present,bib_entries,bib_valid,bib_primary,citation_style
anthropic,naive,1,12,1,0,11,,1,3,0,9,,7,1,0,11,0,,0,inline-ref
anthropic,naive,2,47,0,0,47,,15,14,0,33,,1,11,1,35,0,,0,inline-ref
anthropic,naive,3,72,1,0,71,,11,45,0,27,,3,25,0,47,0,,0,inline-ref
anthropic,naive,4,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
anthropic,naive,5,12,1,0,11,,2,2,0,10,,3,3,0,9,0,,0,inline-ref
mistral,naive,1,54,47,0,7,,0,54,0,0,,0,32,0,22,15,,6,inline-ref
mistral,naive,2,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
mistral,naive,3,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
mistral,naive,4,60,60,0,0,,0,60,0,0,,0,44,0,16,8,,6,inline-ref
mistral,naive,5,33,33,0,0,,0,33,0,0,,0,24,0,9,10,,5,inline-ref
openai,naive,1,114,35,23,56,,56,60,18,36,,20,35,0,79,10,,8,inline-ref
openai,naive,2,103,33,0,70,,65,33,0,70,,28,53,6,44,19,,15,inline-ref
openai,naive,3,119,35,1,83,,44,35,19,65,,47,39,1,79,15,,13,inline-ref
openai,naive,4,120,35,0,85,,54,35,72,13,,10,35,0,85,21,,18,inline-ref
openai,naive,5,69,35,0,34,0,0,35,0,34,0,0,36,0,33,10,,8,key-ref
qwen,naive,1,70,33,0,37,,26,33,0,37,,19,49,0,21,15,,7,inline-ref
qwen,naive,2,71,34,0,37,,26,34,0,37,,23,40,0,31,15,,10,inline-ref
qwen,naive,3,65,33,0,32,,29,33,0,32,,25,37,0,28,16,,10,inline-ref
qwen,naive,4,75,33,0,42,,22,33,0,42,,24,38,0,37,15,,7,inline-ref
qwen,naive,5,74,33,0,41,,34,33,0,41,,27,52,0,22,15,,11,inline-ref
anthropic,optimised,1,85,44,0,41,0,0,43,0,42,0,0,60,0,25,0,,0,key-ref
anthropic,optimised,2,128,59,0,69,68,67,88,0,40,33,24,99,0,29,13,,9,key-ref
anthropic,optimised,3,124,52,0,72,,0,61,0,63,,0,78,0,46,0,,11,inline-ref
anthropic,optimised,4,151,87,0,64,,0,105,0,46,,0,110,0,41,0,,8,inline-ref
anthropic,optimised,5,147,74,0,73,65,33,108,0,39,37,21,105,0,42,18,,16,key-ref
mistral,optimised,1,26,21,0,5,,0,21,0,5,,0,21,0,5,10,,3,inline-ref
mistral,optimised,2,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
mistral,optimised,3,15,0,0,15,,1,8,0,7,,1,1,0,14,0,,0,inline-ref
mistral,optimised,4,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,none
mistral,optimised,5,25,0,0,25,,2,0,0,25,,19,0,0,25,0,,0,inline-ref
openai,optimised,1,128,45,0,83,83,57,45,0,83,83,68,45,7,76,38,,26,key-ref
openai,optimised,2,164,77,4,83,83,81,77,12,75,75,66,77,12,75,42,,34,key-ref
openai,optimised,3,181,84,0,97,97,92,84,0,97,97,92,84,1,96,31,,22,key-ref
openai,optimised,4,103,34,0,69,69,63,34,0,69,69,64,34,0,69,32,,23,key-ref
openai,optimised,5,164,85,3,76,76,65,85,3,76,76,64,89,1,74,50,,32,key-ref
qwen,optimised,1,10,0,0,10,,10,5,0,5,,5,0,0,10,5,,5,inline-ref
qwen,optimised,2,18,7,0,11,,0,9,0,9,,0,7,0,11,0,,0,inline-ref
qwen,optimised,3,19,6,0,13,,11,12,0,7,,2,6,0,13,0,,0,inline-ref
qwen,optimised,4,18,5,1,12,,0,6,0,12,,0,5,0,13,0,,0,inline-ref
qwen,optimised,5,12,0,0,12,,11,0,2,10,,4,0,0,12,0,,0,inline-ref
