arm,agent,model,run,classification,narrative_chars,inventory_rows,cost_usd,wall_s,turns
naive,anthropic,claude-opus-4-6,1,report,13957,11,0.8982,312.95,1
naive,anthropic,claude-opus-4-6,2,report,28162,46,0.9253,262.27,1
naive,anthropic,claude-opus-4-6,3,no_report,29083,45,0.9432,277.34,1
naive,anthropic,claude-opus-4-6,4,report,13774,0,0.9305,282.83,1
naive,anthropic,claude-opus-4-6,5,no_report,13505,11,0.913,295.01,1
naive,mistral,mistral-large-2512,1,report,27992,25,0.038,195.29,1
naive,mistral,mistral-large-2512,2,no_report,0,0,0.2258,10.86,1
naive,mistral,mistral-large-2512,3,no_report,2216,0,0.0012,11.26,1
naive,mistral,mistral-large-2512,4,report,24170,27,0.187,191.95,1
naive,mistral,mistral-large-2512,5,report,15064,9,0.2831,133.74,1
naive,openai,gpt-5.5,1,report,49930,79,0.2673,174.0,1
naive,openai,gpt-5.5,2,report,60852,70,0.2658,181.33,1
naive,openai,gpt-5.5,3,report,41882,46,0.2437,172.99,1
naive,openai,gpt-5.5,4,report,49295,0,0.2604,189.51,1
naive,openai,gpt-5.5,5,report,37584,76,0.2219,149.27,1
naive,qwen,qwen3-max-2026-01-23,1,report,19812,37,0.0429,212.84,1
naive,qwen,qwen3-max-2026-01-23,2,report,22129,37,0.0476,236.6,1
naive,qwen,qwen3-max-2026-01-23,3,report,21096,32,0.0444,220.52,1
naive,qwen,qwen3-max-2026-01-23,4,report,23191,42,0.0498,247.02,1
naive,qwen,qwen3-max-2026-01-23,5,report,23011,41,0.0507,251.86,1
optimised,anthropic,claude-opus-4-6,1,report,18094,32,1.78034,727.6,3
optimised,anthropic,claude-opus-4-6,2,report,22416,36,1.90504,692.8,3
optimised,anthropic,claude-opus-4-6,3,report,26691,36,2.043415,657.9,3
optimised,anthropic,claude-opus-4-6,4,report,25135,31,1.80293,670.8,3
optimised,anthropic,claude-opus-4-6,5,report,27997,36,2.089675,682.6,3
optimised,mistral,mistral-large-2512,1,report,12172,5,0.393045,281.5,4
optimised,mistral,mistral-large-2512,2,report,11886,10,0.479449,304.3,4
optimised,mistral,mistral-large-2512,3,report,11741,14,0.571769,313.8,4
optimised,mistral,mistral-large-2512,4,report,15109,15,0.481805,171.7,4
optimised,mistral,mistral-large-2512,5,report,13412,25,0.354874,214.8,3
optimised,openai,gpt-5.5-2026-04-23,1,report,41279,83,1.140515,444.9,4
optimised,openai,gpt-5.5-2026-04-23,2,report,36839,87,0.909915,355.7,3
optimised,openai,gpt-5.5-2026-04-23,3,report,41863,97,0.923445,388.4,3
optimised,openai,gpt-5.5-2026-04-23,4,report,34759,69,0.883275,363.9,3
optimised,openai,gpt-5.5-2026-04-23,5,report,56872,79,0.98153,418.6,3
optimised,qwen,qwen3-max-2026-01-23,1,report,6424,10,0.162226,426.7,2
optimised,qwen,qwen3-max-2026-01-23,2,report,8329,11,0.161435,425.5,2
optimised,qwen,qwen3-max-2026-01-23,3,report,6599,13,0.170011,488.9,2
optimised,qwen,qwen3-max-2026-01-23,4,report,7787,13,0.169545,470.9,2
optimised,qwen,qwen3-max-2026-01-23,5,report,7774,12,0.172145,500.0,2
