"name","source","capacity","lat","lon"
"Thủy điện Huội Quảng","hydro","520 MW",21.6610573,103.8983512
"Thủy điện Thượng Kon Tum","hydro","220 MW",14.8123090,108.3801913
"Nhà máy thủy điện Hoà Bình","hydro","1920 MW",20.8120749,105.3230846
"Nhà máy Nhiệt điện Ô Môn","gas;oil","660 MW",10.1337287,105.6710572
"Đập thủy điện Đăk Đrinh","hydro","",14.9793210,108.3013928
"Nhà máy thủy điện Hương Điền","hydro","81 MW",16.4602785,107.4247468
"Nhà máy Nhiệt điện Bà Rịa","gas","390 MW",10.4885592,107.1665776
"Nhà mày Thuỷ điện Đạ Dâng 2","hydro","34 MW",11.6952350,108.2443784
"Nhà máy thủy điện Bình Điền","hydro","44 MW",16.3185396,107.5003178
"Đập Bình Điền","hydro","",16.3172936,107.5026616
"Nhà máy thủy điện Vĩnh Sơn","hydro","66 MW",14.3708462,108.7152112
"Nhà máy thủy điện Sông Côn 2","hydro","60 MW",15.8903740,107.8192548
"Nhà máy Nhiệt điện Nhơn Trạch 1","gas","450 MW",10.6423033,106.8396721
"La Hieng 2","hydro","",13.5014944,108.8482686
"Nhà máy thủy điện Thái An","hydro","82 MW",22.9741868,105.0470490
"","hydro","",23.1576325,105.0181400
"","hydro","yes",15.9037844,107.8900288
"Nhà máy thủy điện Sông Côn 1","hydro","3 MW",15.9836646,107.7909279
"Nhà máy thủy điện Đăk Mi 4A","hydro","148 MW",15.4442966,107.8924180
"Nhà máy thủy điện Đăk Mi 4B","hydro","42 MW",15.4577160,107.9157110
"","hydro","yes",21.3648854,107.3818276
"Nhà máy Nhiệt điện Đăk Psi 3","hydro","",14.7528038,107.9811691
"Thủy điện A Lưới","hydro","170 MW",16.2758671,107.3616916
"Đập Thuỷ điện A Vương","hydro","",15.7996641,107.6173275
"Đập thủy điện Krông H'Năng","hydro","",12.9404879,108.7137477
"Nhà máy thủy điện Srok Phu Miêng","hydro","51 MW",11.7686402,106.7566210
"Nhà máy Thủy điện Cần Đơn","hydro","78 MW",11.9685771,106.8430029
"Thủy điện Bắc Hà","hydro","90 MW",22.5067728,104.1947477
"","hydro","",22.6642425,106.5900473
"","hydro","yes",21.5434025,106.5090026
"Nhà máy Nhiệt điện Na Dương","coal","111.2 MW",21.6983665,106.9749472
"Nhà máy Nhiệt điện Cao Ngạn","coal","115 MW",21.6117572,105.8137335
"Nhà máy thủy điện Sơn La","hydro","2400 MW",21.4964896,103.9968676
"Nhà Máy Thủy Điện Yantiansien","hydro","yes",12.2102502,108.4335483
"Nhà máy thủy điện Ankroet","hydro","3 MW",11.9968680,108.3605510
"Nhà mày Thuỷ điện Đại Ninh","hydro","300 MW",11.4731148,108.3571833
"Thủy điện Buôn Tua Srah","hydro","86 MW",12.2855696,108.0400958
"Nhà máy Nhiệt điện Phả Lại","coal","1040 MW",21.1187785,106.3068116
"Nhà máy Nhiệt điện Mạo Khê","coal","440 MW",21.0909768,106.5772797
"Nhà máy Nhiệt điện Sơn Động","coal","220 MW",21.1795023,106.7799580
"Nhà máy Nhiệt điện Uông Bí","coal","620 MW",21.0410516,106.7871131
"Nhà máy Nhiệt điện Quảng Ninh","coal","1200 MW",21.0114238,107.1266455
"Nhà máy thủy điện Sê San 4A","hydro","63 MW",13.9304140,107.4663466
"Long Phú 1 Power Plant","coal","1200 MW",9.7100338,106.0850198
"","hydro","yes",19.4055926,104.1070765
"Nhà máy thủy điện ZaHưng","hydro","30 MW",15.8476793,107.6538082
"Đập Thuỷ điện Za Hung","hydro","",15.8598785,107.6537452
"Thủy điện Sê San 3A","hydro","108 MW",14.1062852,107.6585537
"Đập thủy điện Đak Đoa","hydro","",14.1849149,108.1065725
"Nhà máy thủy điện Đăk Đoa","hydro","14 MW",14.1922260,108.1099064
"","hydro","",14.2392665,108.1048603
"","hydro","",14.5663162,108.3061871
"","","",10.6642350,107.0174669
"","hydro","",13.2501840,108.0429357
"Nhà máy Thủy điện Thác Mơ","hydro","150 MW",11.8588566,107.0140415
"Nhà máy Thuỷ điện Lai Châu","hydro","1200 MW",22.1395547,102.9845822
"Nhà máy Nhiệt điện Nghi Sơn 1","coal","600 MW",19.3158136,105.8002868
"Nhà máy thủy điện Đăk Srông 2","hydro","24 MW",13.6949475,108.5609516
"Nhà máy thủy điện Đăk Srông 2A","hydro","18 MW",13.6787345,108.5618530
"Đập thủy điện Krông Kmar","hydro","",12.4520389,108.3372854
"CMX RE Sunseap Solar Power Company","solar","yes",11.7048905,108.8283509
"","solar","yes",11.6689615,108.8099027
"Nhà máy Thuỷ điện Bản Giốc","hydro","yes",22.8589173,106.6997377
"Nhà mày Thủy điện Hàm Thuận","hydro","300 MW",11.2891133,107.8734611
"Nhà mày Thủy điện Đa Mi","hydro","175 MW",11.2194182,107.8334623
"Nhà máy Nhiệt điện Duyên Hải 1","coal","1245 MW",9.5818402,106.5249209
"","hydro","",11.7603563,108.8084731
"Nhà máy Thủy điện Hạ Sông Pha 2","hydro","",11.8320397,108.7081749
"Nhà máy Thủy điện Hạ Sông Pha 1","hydro","",11.8283890,108.6906235
"Nhà máy thủy điện Trà Xom","hydro","20 MW",14.2873642,108.7223601
"Nhà máy thủy điện Vĩnh Sơn 5","hydro","28 MW",14.3186427,108.7536393
"Thủy điện Sêrêpôk 4A","hydro","64 MW",12.8935748,107.8120196
"Hoa Phu","hydro","",12.6495043,107.9093040
"Thủy điện A Vương","hydro","210 MW",15.7758445,107.6843087
"Nhà máy thủy điện Sông Bung 4A","hydro","49 MW",15.7653318,107.6794238
"Thủy điện Sông Ba Hạ","hydro","220 MW",13.0653214,108.9129319
"Ia Grai 1","hydro","",13.9686082,107.7848173
"Nhà máy Thủy điện Ry Ninh","hydro","yes",14.2051219,107.8167208
"Thủy điện Bản Vẽ","hydro","320 MW",19.3412783,104.4877266
"Nhà máy Thủy điện Ry Ninh 2","hydro","yes",14.2129850,107.8137644
"Thủy điện Sông Bung 2","hydro","100 MW",15.7000015,107.4849448
"","hydro","",21.0189775,103.6657316
"Nhà máy Thuỷ điện Quảng Tín","hydro","5 MW",11.9560098,107.4091957
"Nhà máy Thuỷ điện Đăk Ru","hydro","6.9 MW",11.9335101,107.3789424
"Thủy điện Sông Bung 4","hydro","156 MW",15.7257931,107.6512661
"Thủy điện Sêrêpôk 3","hydro","220 MW",12.7667360,107.8591586
"Nhà máy Thuỷ điện Sơn La","hydro","2400 MW",21.4974137,103.9966639
"Thủy điện Sêrêpôk 4","hydro","80 MW",12.8082477,107.8557620
"Thủy điện Sông Pha","hydro","7.5 MW",11.8332474,108.6840346
"Thủy điện Sê San 4","hydro","360 MW",13.9687064,107.4941784
"Thủy điện Sê San 3","hydro","260 MW",14.2159769,107.7212390
"Nhà máy nhiệt điện Ninh Bình","coal","100 MW",20.2549098,105.9868626
"Nhà máy Thuỷ điện Nậm Nghẹ","hydro","yes",22.3945244,102.9502416
"","hydro","yes",16.3971752,107.2980471
"","hydro","yes",16.4022059,107.2001032
"Nhà máy Thuỷ điện A Lin B2","hydro","",16.4097039,107.2239939
"Nhà máy điện (ngưng hoạt động)","oil","",15.3790521,109.1231586
"Nhà máy Thuỷ điện Sông Miện 5A","hydro","9 MW",22.8890476,104.9963298
"Nhà máy Thuỷ điện Sông Miện 5","hydro","16.5 MW",22.9218993,105.0059973
"","hydro","",16.6588101,106.7925196
"Nhà máy thuỷ điện La La","hydro","yes",16.5975113,106.6750748
